GeoName,New_MEFI_Score,MEFI_Score,Govt_Consumption,Govt_Xfers_Subsidies,Govt_Retirement, Income_Payroll_Tax,Sales_Tax,Property_Tax,Minimum_Wage_Over_Income,Percent_Govt_Employment,Percent_Private_Union_Density,Minimum_Wage_Over_10%_Income
"Bismarck, ND MSA",6.973945235,7.562230155,7.038413774,9.133090682,4.591465101,7.849652094,4.707864479,8.100068661,9.274415348,8.512642239,8.852459016,3.55789
"Blacksburg-Christiansburg-Radford, VA MSA",7.407343356,7.51136662,7.553948755,8.869480181,7.087174955,3.249265533,7.775308597,8.545507731,6.916825181,8.47910559,9.12568306,8.18947
"Bloomington, IL MSA",6.741929507,6.373565975,8.70214497,9.386713972,2.286817275,4.709475865,5.337324573,6.910906583,7.816846324,8.769241265,3.442622951,6.75789
"Bloomington, IN MSA",7.468187622,7.311130133,7.216425344,8.557002145,7.499465155,5.090123848,5.007165981,8.689454745,7.636762108,9.32781559,6.775956284,8.18947
"Bloomsburg-Berwick, PA MSA",6.941157612,6.73155163,7.871541964,8.636296104,3.633713466,3.309826553,6.261052236,8.282812416,8.157367706,9.34938701,5.081967213,6.96842
"Boise City-Nampa, ID MSA",7.460858581,7.604200542,8.834561434,9.450873589,5.188567416,4.078989746,5.932718207,8.705349086,8.181331354,9.049020606,9.016393443,7.72632
"Boston-Cambridge-Quincy, MA-NH MSA",6.639787993,7.025328654,8.253123392,9.434372297,4.38360811,2.285142082,8.095858406,7.482330008,8.911132052,9.45989401,4.922497532,1.45263
"Boulder, CO MSA",7.032972468,7.267555282,8.647590092,9.291771386,4.153916169,4.625387801,5.920057048,7.904608049,9.252450544,9.164129021,6.448087432,4.33684
"Bowling Green, KY MSA",6.252078445,6.046447793,6.490243899,8.008178088,1.85699581,1.346117429,5.556314049,9.333013849,6.87022446,8.61814474,6.338797814,8.18947
"Bremerton-Silverdale, WA MSA",6.606339066,6.553675531,7.898532625,9.1059442,4.838062836,10,2.191173333,8.278848562,6.550671225,8.699081971,1.420765027,1.89474
"Bridgeport-Stamford-Norwalk, CT MSA",6.853188639,6.732982843,10,9.543743148,3.233015173,2.045072318,6.658381611,7.763225221,10,9.003681335,2.349726776,3.43158
"Brownsville-Harlingen, TX MSA",7.122448186,7.098762378,5.366559489,9.346550353,6.113188549,10,4.363490811,7.911919253,4.857931087,6.858183609,9.071038251,9.28421
"Brunswick, GA MSA",7.015944689,7.083883205,5.400391506,9.277564522,5.365910629,4.210385594,5.746850016,8.41530461,7.538620041,8.346370016,9.453551913,8.84211
"Buffalo-Cheektowaga-Niagara Falls, NY MSA",5.983809747,5.354569981,6.56168613,8.488855996,4.533779086,1.309393521,4.341799484,7.645349366,6.897453165,8.412813085,0,5.66316
"Burlington, NC MSA",7.23659542,7.373712347,8.086473858,8.613554253,6.030654983,3.555677145,5.869301283,8.782160773,7.329951049,8.31421701,9.781420765,8.54737
"Burlington-South Burlington, VT MSA",6.011487431,6.323416616,5.009271708,8.159743176,6.029687161,4.002974069,5.54350238,6.483803581,7.624400996,8.428951177,5.628415301,2.82105
"California-Lexington Park, MD MSA",6.967987739,6.965968118,8.576847504,8.6215048,6.377507565,0.368066137,6.670218732,8.980147536,8.312504361,8.994566705,5.792349727,5.81053
"Canton-Massillon, OH MSA",6.573112517,6.279347138,8.275585158,9.07280935,0,4.884199133,5.014240072,8.772478755,7.328708901,8.357359706,4.808743169,7.45263
"Cape Coral-Fort Myers, FL MSA",7.776537674,7.943821092,7.117005358,9.608384615,7.146706886,9.470305475,5.124451947,8.053689531,8.329504271,8.065106775,8.579234973,7.07368
"Cape Girardeau, MO-IL MSA",7.364236647,7.211810876,8.596053826,9.418308012,4.579126898,4.708474242,5.701546755,9.133927924,7.447590442,8.608891194,6.712378592,8.08421
"Carbondale-Marion, IL MSA",6.779001245,6.370871632,8.504214093,9.386713972,2.36519008,4.709475865,5.858018553,8.092629153,6.596002077,8.382977941,3.442622951,7.11579
